FIGHT_ID,EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 1,Roman Dolidze,0.0,10 of 31,32%,13 of 34,0 of 0,---,0.0,0.0,0:45,5 of 25,0 of 1,5 of 5,9 of 30,1 of 1,0 of 0
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 2,Roman Dolidze,0.0,20 of 52,38%,20 of 52,0 of 0,---,0.0,0.0,0:00,15 of 42,3 of 7,2 of 3,19 of 49,1 of 3,0 of 0
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 3,Roman Dolidze,0.0,4 of 16,25%,4 of 16,0 of 1,0%,0.0,0.0,0:00,3 of 13,1 of 3,0 of 0,4 of 15,0 of 1,0 of 0
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 4,Roman Dolidze,0.0,2 of 8,25%,2 of 8,0 of 0,---,0.0,0.0,0:00,2 of 8,0 of 0,0 of 0,2 of 7,0 of 1,0 of 0
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 1,Anthony Hernandez,0.0,19 of 37,51%,21 of 39,2 of 4,50%,0.0,0.0,0:50,11 of 29,1 of 1,7 of 7,16 of 34,3 of 3,0 of 0
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 2,Anthony Hernandez,0.0,44 of 73,60%,52 of 83,3 of 3,100%,0.0,0.0,1:47,38 of 67,2 of 2,4 of 4,22 of 47,7 of 11,15 of 15
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 3,Anthony Hernandez,0.0,18 of 27,66%,28 of 38,3 of 3,100%,0.0,0.0,3:28,11 of 20,2 of 2,5 of 5,5 of 13,0 of 0,13 of 14
68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez,Roman Dolidze vs. Anthony Hernandez,Round 4,Anthony Hernandez,0.0,10 of 15,66%,19 of 27,1 of 1,100%,1.0,0.0,1:43,7 of 12,1 of 1,2 of 2,5 of 8,3 of 4,2 of 3
37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg vs. Ode Osbourne,Round 1,Steve Erceg,0.0,3 of 11,27%,4 of 14,1 of 5,20%,0.0,0.0,1:06,2 of 10,1 of 1,0 of 0,2 of 10,1 of 1,0 of 0
37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg vs. Ode Osbourne,Round 2,Steve Erceg,0.0,11 of 25,44%,18 of 33,0 of 3,0%,0.0,0.0,0:58,4 of 18,7 of 7,0 of 0,6 of 18,5 of 7,0 of 0
37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg vs. Ode Osbourne,Round 3,Steve Erceg,0.0,6 of 17,35%,17 of 35,2 of 2,100%,1.0,0.0,2:43,4 of 14,2 of 3,0 of 0,4 of 15,0 of 0,2 of 2
37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg vs. Ode Osbourne,Round 1,Ode Osbourne,0.0,17 of 32,53%,26 of 44,1 of 1,100%,0.0,1.0,0:46,10 of 21,0 of 2,7 of 9,12 of 27,0 of 0,5 of 5
37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg vs. Ode Osbourne,Round 2,Ode Osbourne,0.0,12 of 25,48%,15 of 28,0 of 0,---,0.0,0.0,0:23,7 of 19,2 of 3,3 of 3,11 of 24,1 of 1,0 of 0
37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez,Steve Erceg vs. Ode Osbourne,Round 3,Ode Osbourne,0.0,6 of 17,35%,6 of 17,0 of 1,0%,0.0,0.0,0:00,3 of 13,2 of 2,1 of 2,6 of 17,0 of 0,0 of 0
646c79a7ecd12e5f,UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo vs. Angela Hill,Round 1,Iasmin Lucindo,0.0,27 of 68,39%,28 of 69,1 of 3,33%,0.0,0.0,0:46,19 of 57,6 of 9,2 of 2,22 of 58,5 of 10,0 of 0
646c79a7ecd12e5f,UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo vs. Angela Hill,Round 2,Iasmin Lucindo,0.0,28 of 50,56%,30 of 52,1 of 3,33%,0.0,0.0,0:56,21 of 42,6 of 7,1 of 1,22 of 43,6 of 7,0 of 0
646c79a7ecd12e5f,UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo vs. Angela Hill,Round 3,Iasmin Lucindo,0.0,17 of 33,51%,42 of 66,1 of 1,100%,0.0,0.0,3:55,16 of 29,0 of 3,1 of 1,13 of 29,0 of 0,4 of 4
646c79a7ecd12e5f,UFC Fight Night: Dolidze vs. Hernandez,Iasmin Lucindo vs. Angela Hill,Round 1,Angela Hill,0.0,25 of 46,54%,26 of 47,0 of 3,0%,0.0,0.0,0:33,18 of 38,5 of 6,2 of 2,22 of 41,3 of 5,0 of 0
