FIGHTER_ID,FIRST,LAST,NICKNAME,URL
93fe7332d16c6ad9,Tom,Aaron,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
15df64c02b6b0fde,Danny,Abbadi,The Assassin,http://ufcstats.com/fighter-details/15df64c02b6b0fde
59a9d6dac61c2540,Nariman,Abbasov,Bayraktar,http://ufcstats.com/fighter-details/59a9d6dac61c2540
b361180739bed4b0,David,Abbott,Tank,http://ufcstats.com/fighter-details/b361180739bed4b0
3329d692aea4dc28,Hamdy,Abdelwahab,The Hammer,http://ufcstats.com/fighter-details/3329d692aea4dc28
841695e02c99a521,Mansur,Abdul-Malik,,http://ufcstats.com/fighter-details/841695e02c99a521
2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
c0ed7b208197e8de,Hiroyuki,Abe,Abe Ani,http://ufcstats.com/fighter-details/c0ed7b208197e8de
5140122c3eecd307,Daichi,Abe,,http://ufcstats.com/fighter-details/5140122c3eecd307
c9f6385af6df66d7,Papy,Abedi,Makambo,http://ufcstats.com/fighter-details/c9f6385af6df66d7
aa6e591c2a2cdecd,Ricardo,Abreu,Demente,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
7279654c7674cd24,Klidson,Abreu,White Bear,http://ufcstats.com/fighter-details/7279654c7674cd24
f689bd7bbd14b392,Cyborg,Abreu,,http://ufcstats.com/fighter-details/f689bd7bbd14b392
1c5879330d42255f,Daniel,Acacio,,http://ufcstats.com/fighter-details/1c5879330d42255f
989b85f6540c86b1,John,Adajar,The Outlaw,http://ufcstats.com/fighter-details/989b85f6540c86b1
2620f3eb21c79614,Scott,Adams,,http://ufcstats.com/fighter-details/2620f3eb21c79614
83b00f7597e5ac83,Juan,Adams,The Kraken,http://ufcstats.com/fighter-details/83b00f7597e5ac83
a77633a989013265,Anthony,Adams,Sugafoot,http://ufcstats.com/fighter-details/a77633a989013265
79cb2a690b9ba5e8,Zarrukh,Adashev,The Lion,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
1338e2c7480bdf9e,Israel,Adesanya,The Last Stylebender,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
0e9869d712e81f8f,Sam,Adkins,The Experience,http://ufcstats.com/fighter-details/0e9869d712e81f8f
7a846fcbf182a7c8,Mohamed,Ado,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
ebc5af72ad5a28cb,Nick,Agallar,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
a08ddd04eaffd81d,Mariya,Agapova,Money Mashka,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
26f4288e83188c61,Kantharaj,Agasa,Kannadiga,http://ufcstats.com/fighter-details/26f4288e83188c61
